Date,Portfolio_Return
2018-10-10,-0.015772370363402375
2018-10-11,0.009536072350412162
2018-10-12,0.0005514307561145877
2018-10-15,0.018640653524599485
2018-10-16,-0.00017543920859397534
2018-10-17,-0.013273003851994515
2018-10-18,0.0024973516536306696
2018-10-19,-0.0001506440743542139
2018-10-22,-0.006835755104480251
2018-10-23,-0.026149558755499975
2018-10-24,0.014618343178217056
2018-10-25,-0.009973380081363363
2018-10-26,-0.0037797205826975043
2018-10-29,0.015918278070187326
2018-10-30,0.012011600795269604
2018-10-31,0.014946790643843369
2018-11-01,-0.004742649544223976
2018-11-02,0.005139961404118185
2018-11-05,0.001546061230712675
2018-11-06,0.008553812553443953
2018-11-07,0.0007104697122423263
2018-11-08,0.0017707787732850846
2018-11-09,-0.0037025148661418345
2018-11-12,-9.213078571589163e-05
2018-11-13,0.0005664020706420593
2018-11-14,0.009524153618866235
2018-11-15,0.0029645612027509468
2018-11-16,-0.008235638899931334
2018-11-19,-0.015607761589533036
2018-11-20,0.00927395767124199
2018-11-21,-0.0043620692368708846
2018-11-23,0.01179022222670836
2018-11-26,0.0025275712344802197
2018-11-27,0.010237392377598686
2018-11-28,0.004722694414285887
2018-11-29,0.0012356574877940936
2018-11-30,0.0094657886732239
2018-12-03,0.013859232876489914
2018-12-04,-0.0030345670355178098
2018-12-06,-0.008830737761817921
2018-12-07,-0.003122755451320551
2018-12-10,0.00039780256355086515
2018-12-11,0.008980307104186085
2018-12-12,-0.0033041990762011056
2018-12-13,-0.013072798197201954
2018-12-14,-0.020021021213314123
2018-12-17,0.0007316164972820256
2018-12-18,-0.014055958979926285
2018-12-19,-0.013946593818085374
2018-12-20,-0.01854278184910202
2018-12-21,-0.01989599309080246
2018-12-24,0.03842496138199641
2018-12-26,0.006801573146742883
2018-12-27,0.0034784189449027147
2018-12-28,0.004761982814296478
2018-12-31,0.001030990817113396
2019-01-02,-0.00865817379267547
2019-01-03,0.031014639399142802
2019-01-04,0.0050988015222247175
2019-01-07,0.0060333071383659245
2019-01-08,-0.003944007151606
2019-01-09,-0.0030243979069423236
2019-01-10,0.0036422730059049195
2019-01-11,0.00047825581628645013
2019-01-14,0.0019570234547209233
2019-01-15,0.0038602255339516616
2019-01-16,0.0004964645519431111
2019-01-17,-0.00389008816811814
2019-01-18,0.019722397646277128
2019-01-22,0.00041565242115265715
2019-01-23,-0.00033313540428115383
